raza,vida_min,vida_max,vida_promedio,peso_macho_max,peso_hembra_max,peso_promedio,categoria_peso,diferencia_sexual_peso,hipoalergenico,fecha_extraccion
Affenpinscher,14,16,15.0,5,5,5.0,Muy pequeño,0,True,2026-03-26T12:16:51.082919
Afghan Hound,12,14,13.0,27,25,26.0,Mediano,2,False,2026-03-26T12:16:51.082954
Airedale Terrier,12,14,13.0,23,20,21.5,Mediano,3,False,2026-03-26T12:16:51.082964
Akita,10,12,11.0,60,50,55.0,Gigante,10,False,2026-03-26T12:16:51.082972
Alaskan Klee Kai,12,15,13.5,7,7,7.0,Muy pequeño,0,False,2026-03-26T12:16:51.082980
Alaskan Malamute,12,15,13.5,39,34,36.5,Grande,5,False,2026-03-26T12:16:51.082988
American Bulldog,12,14,13.0,50,45,47.5,Gigante,5,False,2026-03-26T12:16:51.082994
American English Coonhound,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083011
American Eskimo Dog,12,15,13.5,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.083020
American Foxhound,12,15,13.5,34,34,34.0,Grande,0,False,2026-03-26T12:16:51.083048
American Hairless Terrier,12,14,13.0,7,7,7.0,Muy pequeño,0,False,2026-03-26T12:16:51.083056
American Leopard Hound,12,15,13.5,40,35,37.5,Grande,5,False,2026-03-26T12:16:51.083062
American Staffordshire Terrier,12,14,13.0,40,40,40.0,Grande,0,False,2026-03-26T12:16:51.083066
American Water Spaniel,12,14,13.0,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.083070
Anatolian Shepherd Dog,12,14,13.0,70,70,70.0,Gigante,0,False,2026-03-26T12:16:51.083074
Appenzeller Sennenhund,12,15,13.5,45,45,45.0,Gigante,0,False,2026-03-26T12:16:51.083077
Australian Cattle Dog,12,15,13.5,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.083080
Australian Kelpie,12,14,13.0,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.083084
Australian Shepherd,12,15,13.5,30,25,27.5,Mediano,5,False,2026-03-26T12:16:51.083087
Australian Stumpy Tail Cattle Dog,12,15,13.5,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.083091
Australian Terrier,14,16,15.0,6,6,6.0,Muy pequeño,0,False,2026-03-26T12:16:51.083095
Azawakh,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083098
Barbado da Terceira,12,15,13.5,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.083101
Barbet,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083105
